iter	Passed	Remaining
0	612	611901
1	616	307509
2	619	205917
3	622	155080
4	628	125014
5	631	104608
6	634	89975
7	636	78922
8	637	70231
9	638	63258
10	640	57563
11	641	52853
12	643	48844
13	644	45386
14	645	42387
15	646	39763
16	647	37447
17	648	35394
18	649	33554
19	650	31898
20	652	30401
21	653	29041
22	654	27796
23	656	26687
24	657	25647
25	658	24675
26	659	23775
27	660	22940
28	661	22162
29	663	21440
30	664	20761
31	665	20124
32	666	19529
33	667	18966
34	668	18435
35	669	17932
36	671	17478
37	672	17035
38	674	16609
39	675	16203
40	676	15816
41	677	15450
42	678	15109
43	680	14779
44	681	14459
45	682	14154
46	683	13860
47	684	13579
48	686	13323
49	687	13070
50	689	12821
51	690	12582
52	691	12351
53	692	12129
54	693	11916
55	694	11710
56	695	11512
57	696	11319
58	698	11133
59	699	10952
60	700	10786
61	702	10621
62	703	10459
63	704	10303
64	705	10153
65	707	10005
66	708	9864
67	709	9725
68	710	9590
69	711	9458
70	713	9329
71	714	9203
72	715	9091
73	717	8978
74	718	8862
75	719	8751
76	720	8640
77	721	8532
78	722	8428
79	724	8327
80	725	8229
81	726	8134
82	727	8035
83	728	7946
84	730	7860
85	731	7779
86	733	7695
87	734	7611
88	735	7529
89	736	7449
90	738	7372
91	739	7296
92	740	7221
93	741	7146
94	742	7072
95	743	7000
96	744	6930
97	746	6866
98	747	6801
99	748	6736
100	749	6671
101	750	6608
102	751	6546
103	752	6484
104	753	6424
105	754	6365
106	755	6307
107	756	6250
108	757	6194
109	758	6139
110	759	6085
111	761	6040
112	763	5990
113	764	5939
114	765	5888
115	766	5839
116	766	5788
117	768	5740
118	769	5693
119	770	5646
120	771	5601
121	771	5555
122	772	5511
123	774	5468
124	775	5425
125	776	5389
126	778	5348
127	779	5307
128	780	5268
129	781	5228
130	782	5189
131	783	5151
132	784	5113
133	785	5076
134	786	5039
135	787	5003
136	788	4967
137	789	4932
138	790	4897
139	793	4871
140	794	4838
141	794	4802
142	795	4770
143	796	4737
144	797	4705
145	799	4673
146	800	4642
147	801	4611
148	802	4580
149	803	4551
150	804	4521
151	805	4491
152	806	4466
153	808	4441
154	809	4414
155	811	4388
156	812	4361
157	813	4335
158	814	4310
159	815	4283
160	816	4255
161	817	4229
162	818	4203
163	819	4178
164	820	4153
165	822	4132
166	823	4109
167	824	4084
168	825	4060
169	826	4037
170	828	4014
171	829	3991
172	830	3968
173	831	3945
174	832	3923
175	833	3900
176	834	3878
177	835	3857
178	836	3835
179	838	3818
180	839	3798
181	840	3777
182	841	3757
183	842	3736
184	843	3716
185	844	3696
186	845	3676
187	846	3656
188	847	3637
189	848	3617
190	849	3598
191	850	3580
192	853	3568
193	854	3551
194	855	3533
195	856	3515
196	857	3497
197	858	3479
198	859	3461
199	860	3443
200	862	3426
201	863	3409
202	864	3392
203	865	3375
204	866	3358
205	868	3346
206	869	3330
207	870	3314
208	871	3298
209	872	3282
210	873	3267
211	874	3251
212	875	3235
213	876	3220
214	877	3204
215	878	3189
216	879	3174
217	880	3159
218	883	3149
219	884	3137
220	886	3123
221	887	3108
222	888	3094
223	889	3079
224	890	3065
225	891	3051
226	892	3037
227	893	3023
228	894	3010
229	895	2996
230	896	2983
231	897	2971
232	899	2960
233	900	2947
234	901	2935
235	902	2923
236	904	2911
237	905	2899
238	906	2887
239	907	2875
240	908	2862
241	909	2850
242	910	2837
243	911	2825
244	914	2817
245	915	2806
246	916	2794
247	917	2783
248	919	2771
249	920	2760
250	921	2748
251	922	2736
252	923	2725
253	924	2713
254	924	2702
255	925	2691
256	926	2679
257	928	2671
258	930	2663
259	932	2653
260	933	2643
261	934	2633
262	935	2622
263	937	2612
264	939	2604
265	941	2597
266	943	2590
267	945	2582
268	947	2575
269	949	2567
270	952	2561
271	953	2552
272	954	2543
273	956	2534
274	958	2527
275	960	2519
276	963	2516
277	966	2509
278	967	2500
279	968	2491
280	970	2482
281	971	2473
282	977	2476
283	980	2471
284	981	2463
285	983	2454
286	984	2445
287	986	2437
288	987	2430
289	993	2431
290	995	2425
291	997	2418
292	998	2410
293	1000	2402
294	1001	2393
295	1003	2386
296	1008	2388
297	1010	2380
298	1012	2372
299	1013	2364
300	1014	2356
301	1015	2347
302	1016	2338
303	1017	2330
304	1018	2321
305	1022	2319
306	1023	2311
307	1025	2303
308	1026	2295
309	1027	2286
310	1028	2278
311	1029	2270
312	1030	2261
313	1031	2253
314	1032	2245
315	1033	2237
316	1034	2229
