iter	Passed	Remaining
0	148	148102
1	151	75560
2	154	51360
3	157	39300
4	161	32056
5	164	27208
6	167	23747
7	170	21160
8	174	19173
9	177	17553
10	180	16217
11	183	15104
12	186	14164
13	189	13320
14	190	12528
15	191	11800
16	193	11162
17	194	10588
18	195	10078
19	196	9618
20	197	9200
21	198	8820
22	199	8473
23	200	8155
24	201	7864
25	202	7595
26	203	7347
27	204	7114
28	205	6896
29	207	6694
30	208	6505
31	209	6327
32	210	6162
33	211	6004
34	212	5855
35	213	5715
36	214	5582
37	215	5456
38	216	5341
39	217	5230
40	219	5122
41	220	5021
42	221	4923
43	222	4829
44	223	4740
45	224	4657
46	225	4578
47	227	4502
48	228	4429
49	229	4357
50	230	4289
51	231	4223
52	232	4160
53	233	4098
54	235	4038
55	236	3981
56	237	3924
57	238	3869
58	239	3817
59	240	3766
60	241	3716
61	242	3669
62	243	3622
63	244	3577
64	245	3538
65	247	3497
66	248	3457
67	248	3411
68	250	3374
69	251	3338
70	252	3303
71	253	3269
72	254	3236
73	255	3203
74	257	3173
75	258	3146
76	260	3119
77	261	3092
78	263	3066
79	264	3040
80	265	3013
81	266	2986
82	267	2960
83	269	2934
84	269	2905
85	271	2880
86	271	2853
87	273	2829
88	274	2807
89	275	2785
90	276	2763
91	277	2741
92	278	2719
93	279	2697
94	280	2675
95	281	2654
96	282	2633
97	283	2612
98	284	2592
99	285	2573
100	286	2554
101	287	2531
102	288	2513
103	289	2494
104	290	2476
105	291	2459
106	292	2441
107	293	2424
108	294	2408
109	295	2392
110	296	2376
111	297	2360
112	298	2344
113	299	2329
114	300	2314
115	301	2297
116	302	2283
117	303	2269
118	304	2253
119	305	2240
120	306	2226
121	307	2213
122	308	2196
123	309	2183
124	310	2170
125	311	2157
126	312	2144
127	312	2130
128	313	2117
129	314	2105
130	315	2094
131	316	2082
132	317	2071
133	318	2060
134	319	2049
135	320	2038
136	321	2027
137	322	2015
138	323	2005
139	324	1994
140	325	1984
141	326	1974
142	327	1964
143	328	1954
144	329	1944
145	330	1935
146	331	1926
147	332	1916
148	333	1907
149	334	1898
150	335	1889
151	336	1879
152	337	1871
153	338	1862
154	339	1853
155	340	1844
156	341	1836
157	342	1827
158	343	1819
159	344	1811
160	346	1803
161	347	1795
162	348	1787
163	349	1779
164	350	1771
165	351	1764
166	352	1756
167	353	1748
168	354	1741
169	355	1734
170	356	1726
171	357	1719
